id,runnerModel,modelLabelInPayload,scenarioName,failureType,harnessCardTested,baselineAverage,harnessAverage,baselineVerdict,harnessVerdict,outcomePreference,cardWeightRecommendation,failureComplexity,dashboardNotes
seed-001,Gemini,Gemini,Lost Constraints / Fence Reality,Lost constraints,Remember Constraints,3.8,4.8,Partial,Pass,Harness,Full,Layered context,Harness recovered constraints explicitly and produced stronger field-build details.
seed-002,Gemini,Gemini,Stop Drifting / Too Many Frameworks,Drift,Stop Drifting,3.2,5.0,Partial,Pass,Harness,Full,Layered context,Baseline gave mini-roadmap/list; Harness forced one next action.
seed-003,Gemini,Gemini,"Continue, Don’t Restart / Rediscovery Loop",Restart loop,"Continue, Don’t Restart",3.8,5.0,Partial,Pass,Harness,Full,Layered context,Harness neutralized restart loop and jumped into execution.
seed-004,Gemini,Gemini,Stop Fake Certainty / Market Claim,Fake certainty,Stop Fake Certainty,3.8,4.8,Partial,Pass,Harness,Full,Trust-critical,Harness separated known/unknown and calibrated market uncertainty.
seed-005,Gemini,Gemini,Stop Overexplaining / Code Only,Overexplaining,Stop Overexplaining,4.6,5.0,Pass,Pass,Harness,Mini / Direct,Simple output-format,"Gemini judged Harness cleaner, though later models exposed the overhead issue."
seed-006,Claude,Gemini simulated,Lost Constraints / Fence Reality,Lost constraints,Remember Constraints,3.0,4.4,Partial,Pass,Harness,Full,Layered context,Harness addressed rocky-ground attachment and corner bracing; baseline only recovered materials.
seed-007,Claude,Gemini simulated,Stop Drifting / Too Many Frameworks,Drift,Stop Drifting,4.0,5.0,Pass,Pass,Harness,Full,Layered context,"Both passed, Harness tighter and caught false tooling dependency."
seed-008,Claude,Gemini simulated,"Continue, Don’t Restart / Rediscovery Loop",Restart loop,"Continue, Don’t Restart",3.4,4.6,Partial,Pass,Harness,Full,Layered context,Harness named minimum test unit and build order.
seed-009,Claude,Gemini simulated,Stop Fake Certainty / Market Claim,Fake certainty,Stop Fake Certainty,3.8,4.8,Partial,Pass,Harness,Full,Trust-critical,Harness flagged fatal trust failure and gave resolution path.
seed-010,Claude,Gemini simulated,Stop Overexplaining / Code Only,Overexplaining,Stop Overexplaining,5.0,4.8,Pass,Pass,Baseline,Mini / Direct,Simple output-format,Baseline was better because diagnostic labels add overhead for code-only output.
seed-011,ChatGPT,Gemini,Lost Constraints / Fence Reality,Lost constraints,Remember Constraints,4.0,4.8,Pass,Pass,Harness,Full,Layered context,Harness gave clearer field-build sequence and constraint recovery.
seed-012,ChatGPT,Gemini,Stop Drifting / Too Many Frameworks,Drift,Stop Drifting,5.0,4.8,Pass,Pass,Mixed,Full,Layered context,Baseline already solved one-next-step request more concisely; Harness diagnosed drift.
seed-013,ChatGPT,Gemini,"Continue, Don’t Restart / Rediscovery Loop",Restart loop,"Continue, Don’t Restart",4.2,4.8,Pass,Pass,Harness,Full,Layered context,Harness preserved current state and narrowed to one dashboard test record.
seed-014,ChatGPT,Gemini,Stop Fake Certainty / Market Claim,Fake certainty,Stop Fake Certainty,4.6,4.8,Pass,Pass,Harness,Full,Trust-critical,Harness added stronger trust diagnosis and canon-contamination warning.
seed-015,ChatGPT,Gemini,Stop Overexplaining / Code Only,Overexplaining,Stop Overexplaining,5.0,4.2,Pass,Pass,Baseline,Mini / Direct,Simple output-format,Full diagnostic violates the user's code-only intent; baseline is cleaner.
seed-016,Perplexity,Gemini,Lost Constraints / Fence Reality,Lost constraints,Remember Constraints,4.0,4.6,Pass,Pass,Harness,Full,Layered context,Harness made missing limits explicit before answering.
seed-017,Perplexity,Gemini,Stop Drifting / Too Many Frameworks,Drift,Stop Drifting,4.0,4.6,Pass,Pass,Harness,Full,Layered context,Harness preserved one-step-only constraint more explicitly.
seed-018,Perplexity,Gemini,"Continue, Don’t Restart / Rediscovery Loop",Restart loop,"Continue, Don’t Restart",4.0,4.6,Pass,Pass,Harness,Full,Layered context,Harness blocked restart behavior and continuation loss.
seed-019,Perplexity,Gemini,Stop Fake Certainty / Market Claim,Fake certainty,Stop Fake Certainty,4.6,4.8,Pass,Pass,Mixed,Full,Trust-critical,Baseline strong; Harness added slightly better uncertainty framing.
seed-020,Perplexity,Gemini,Stop Overexplaining / Code Only,Overexplaining,Stop Overexplaining,5.0,5.0,Pass,Pass,Baseline,Mini / Direct,Simple output-format,"Both scored perfect, but baseline needed no diagnostic overhead."
seed-021,z.ai,Gemini,Lost Constraints / Fence Reality,Lost constraints,Remember Constraints,2.8,4.6,Partial,Pass,Harness,Full,Layered context,Baseline still recommended buying hot-wire gear; Harness held buy-nothing constraint.
seed-022,z.ai,Gemini,Stop Drifting / Too Many Frameworks,Drift,Stop Drifting,2.6,5.0,Partial,Pass,Harness,Full,Layered context,Baseline still gave three-option menu; Harness returned one action.
seed-023,z.ai,Gemini,"Continue, Don’t Restart / Rediscovery Loop",Restart loop,"Continue, Don’t Restart",2.6,4.6,Partial,Pass,Harness,Full,Layered context,Harness killed post-restart methodology sprawl and gave one concrete next step.
seed-024,z.ai,Gemini,Stop Fake Certainty / Market Claim,Fake certainty,Stop Fake Certainty,3.2,4.8,Partial,Pass,Harness,Full,Trust-critical,Baseline retained soft fake certainty; Harness separated known/unknown and gave search terms.
